,posterior_g1,posterior_g2,posterior_g3,posterior_g4,posterior_g5,posterior_g6,posterior_g7,posterior_beta2,posterior_beta1,posterior_beta3,posterior_rho
0,3.38447,-1.2659024,2.0869846,0.293923,-1.5434816,-1.9885103,-0.3113826,0.25950178503990173,0.05,3.2096546,0.5633957982063293
1,2.9323545,-0.3864458,0.45023516,-3.7882535,-0.44580913,-0.04415941,3.8995361,0.27088651061058044,0.2824445366859436,2.5727198,0.011174890212714672
2,1.8322661,0.6277841,1.017295,-2.3330908,0.52154666,-0.8674847,2.4710927,0.32013610005378723,0.10717972368001938,3.1836755,0.08744239062070847
3,2.260118,-0.22313924,-0.9279679,1.1812648,-0.1941527,0.62326765,-0.86769,0.7160574793815613,0.08085695654153824,4.1845946,0.3272397518157959
4,1.2643573,1.0881314,-0.15460113,-2.341625,0.8993016,0.34419197,2.4583242,0.05845895782113075,0.5309457778930664,4.2608123,0.2886623442173004
5,1.1631386,0.88203675,-0.09467997,0.081385225,1.0032715,0.14418861,0.0966933,1.0556292533874512,0.05581637844443321,4.516106,0.3325570821762085
6,0.6463178,1.3732939,0.8216455,-0.9056907,1.6340002,-0.7438629,1.3937826,0.40855976939201355,0.05,3.0647993,0.45295730233192444
7,1.7546538,0.46201026,2.5426528,-0.9351027,0.5714621,-2.5200217,1.2464615,1.016574501991272,0.05,3.661621,0.3406159579753876
8,2.3132794,-0.24249145,-2.5122013,0.86391795,-0.359474,2.281037,-0.63104486,0.4639695882797241,0.04984614998102188,3.4514372,0.5637400150299072
9,-0.25246388,2.2743776,0.45421988,1.3381778,2.4018593,-0.59927934,-1.2526742,0.4689086079597473,0.05,3.4997635,0.23674899339675903
10,1.908382,0.06736399,0.15438332,0.17551371,0.10158439,-0.23460189,0.020869622,0.8868248462677002,0.05341583117842674,4.667513,0.3905837833881378
11,-0.35874665,2.6012044,-0.0384557,0.538914,2.5601022,-0.13953061,-0.1953833,1.1379956007003784,0.058338068425655365,3.5088878,0.5095452666282654
12,1.8909954,0.498887,1.4350301,-2.6684487,0.5765966,-1.3437513,2.7641168,0.08645693957805634,0.3098948001861572,3.0093312,0.1206345334649086
13,-0.0092192,2.1094885,0.1122557,-0.24779834,2.175864,-0.20679572,0.3746757,0.7757883667945862,0.05,3.9809227,0.4130484461784363
14,2.3393116,-0.20736992,-1.0307946,0.77575964,-0.20903154,0.7505756,-0.71064806,0.3813309967517853,0.047635577619075775,3.5000331,0.4083099067211151
15,1.3191609,0.898028,0.049275298,-0.3994507,0.8938563,-0.10385314,0.62214404,1.1121271848678589,0.06981229037046432,4.5458064,0.3382626175880432
16,0.6980337,1.3804353,1.7478105,2.6458056,1.3466763,-1.7108256,-2.5506403,0.542734682559967,0.05,2.0285156,0.058782439678907394
17,1.5312024,0.5573145,0.9704362,0.29132915,0.60397506,-1.1826137,0.0060439175,1.0470651388168335,0.06017379090189934,4.0677824,0.3945563733577728
18,1.8205676,0.46036482,0.7215955,-0.6374928,0.35174245,-0.69208294,0.8515801,1.0715824365615845,0.08541299402713776,4.094882,0.39864832162857056
19,1.5651453,0.5903438,1.3080181,-1.5734367,0.5933902,-1.1146735,1.5201408,0.11587561666965485,0.3222283124923706,4.3648305,0.27212098240852356
20,0.41759932,1.5534635,2.2221968,1.7726731,1.4743052,-2.4483018,-1.7990173,0.0525481142103672,0.15507738292217255,3.832395,0.22111119329929352
21,1.4930537,0.7072212,-1.0201658,0.9159607,0.6615183,0.7105133,-0.74843144,0.6600437164306641,0.05756165459752083,3.4154212,0.47651809453964233
22,1.1711813,1.0291787,2.1182246,0.044905644,0.95316535,-1.9462241,0.034361593,0.9136609435081482,0.05,3.0778759,0.5284175276756287
23,-0.1830492,2.3054914,-2.7648416,0.44834659,2.2675116,2.8171155,-0.46252704,0.8440159559249878,0.11005216091871262,3.6647632,0.396547794342041
24,1.9747735,0.30728322,0.8158099,0.15600003,0.27219778,-0.9938995,0.14666693,1.107232689857483,0.06414620578289032,4.458085,0.36222994327545166
25,1.8244997,0.6178285,1.4351102,-2.5508692,0.531674,-1.2747281,2.5761564,0.096371591091156,0.2940640151500702,2.9176073,0.11589512974023819
26,0.5824301,1.7302763,-1.7550955,-1.6238124,1.8267539,1.5367801,1.8688551,0.06722524017095566,0.10299523174762726,3.0713665,0.31273382902145386
27,1.7840182,0.36287698,-0.7107522,0.9017993,0.44967332,0.7945744,-0.8860431,0.683689534664154,0.05,2.8504097,0.42859187722206116
28,1.8860178,0.2734125,0.222402,-3.0137138,0.45115253,-0.061519798,3.1696057,0.04812516272068024,0.6663188934326172,4.5848026,0.16092000901699066
29,0.65074164,1.3757491,-3.4341536,1.7592151,1.5744958,3.0231636,-1.284492,0.6462841629981995,0.0944167971611023,3.844738,0.3067033588886261
30,-0.16585113,2.2954345,-1.8167727,0.3401342,2.4125075,1.6630377,0.15825036,1.2403534650802612,0.055782947689294815,4.3905425,0.33844560384750366
31,0.89263684,1.2433834,-0.9425942,0.42944226,1.3151331,0.7461696,-0.17343342,1.1125396490097046,0.036873750388622284,4.023611,0.3966192305088043
32,4.8630004,-2.7301779,1.3667147,-0.59706527,-2.6372223,-1.3643129,0.6254976,0.7216156125068665,0.031882964074611664,3.7484617,0.37949511408805847
33,-0.5709246,2.4882097,0.39398974,1.652377,2.49293,-0.51867193,-1.2951877,0.15040899813175201,0.0695209875702858,3.4594975,0.412077397108078
34,0.30726007,1.8811162,1.4019248,-1.7228656,1.9306905,-1.2077663,1.8498021,0.058616217225790024,0.37655749917030334,3.4860113,0.5167096853256226
35,0.8973358,1.1042508,0.81800276,2.0831048,1.278119,-1.2935342,-1.7233614,0.12870943546295166,0.21857982873916626,3.3707957,0.2729737162590027
36,2.4408073,-0.010262175,0.22181185,-2.5167046,0.0106607415,-0.14975135,3.0739834,0.2816689610481262,0.05,2.5471692,0.048520348966121674
37,0.6385301,1.4321741,-0.35590076,1.6928056,1.4787698,0.12397321,-1.8674297,0.05186872184276581,0.04117526859045029,3.024393,0.21476127207279205
38,0.70039153,1.4898505,0.7886025,-0.35898006,1.5296221,-0.8630636,0.5680094,1.137074589729309,0.023397861048579216,4.919816,0.2416052669286728
39,-0.28605047,2.4784844,-1.0740267,0.80731404,2.452126,0.7195595,-0.33559167,1.026202917098999,0.059439048171043396,4.101603,0.4133990406990051
40,-0.8838971,3.1079032,1.6062436,-1.8337013,2.9267576,-1.5815223,2.2421412,0.0627724900841713,0.23023547232151031,3.9867017,0.20009168982505798
