,posterior_g1,posterior_g2,posterior_g3,posterior_g4,posterior_phi,posterior_sigma,posterior_beta3,posterior_rho
61,2.1364462,-0.114180766,-0.17556426,0.3366649,0.81284153,0.34634724,4.2912135,0.32798043
62,2.2553916,-0.16170417,-0.1290864,0.3119183,0.7643632,0.5115204,4.6970987,0.23499432
63,2.0326285,-0.03456919,-0.05460564,0.18250267,0.7628981,0.32565728,4.236548,0.27697107
64,2.0001462,-0.08153323,-0.10450237,0.29764193,0.74876285,0.37830263,4.514543,0.28667197
65,2.3218918,-0.06633285,-0.1872977,0.32597342,0.83408874,0.44065925,3.5129383,0.392038
66,2.2082727,-0.04824427,-0.18728992,0.3452403,0.8067066,0.4226574,4.218421,0.27582827
67,2.30534,-0.05800571,-0.15856141,0.33602363,0.8368903,0.4983483,4.392438,0.28159687
68,2.379941,-0.081484616,-0.12394066,0.27628016,0.8536972,0.29343504,3.8603055,0.35121506
69,1.8666519,-0.0065539577,-0.19361348,0.2635733,0.25244993,0.52152574,5.1628413,0.22932175
70,2.0043051,-0.044751227,-0.14993949,0.2949347,0.72491,0.32126218,4.808965,0.26209182
71,2.3076923,-0.057725076,-0.062427737,0.24313304,0.84320486,0.5119609,4.176294,0.28460753
72,2.0418234,-0.0062884456,-0.22890936,0.3036874,0.5754081,0.57331926,4.659526,0.28158563
73,2.1882217,-0.073548995,-0.101637416,0.21953034,0.8387358,0.37066567,4.2430344,0.28339967
74,2.232569,0.005452405,-0.0938586,0.26238352,0.8456371,0.34599826,3.372545,0.39004895
75,2.144501,-0.07980572,-0.20220453,0.4259711,0.81358504,0.43887797,4.3114424,0.28789395
76,2.057252,-0.036793396,-0.24846175,0.2857984,0.7600994,0.32357788,4.344685,0.3035283
77,2.383855,-0.15243597,-0.23621505,0.3808031,0.84604883,0.39878723,4.1211023,0.30999365
78,2.4417524,-0.1126406,-0.18285201,0.24530385,0.7891803,0.4275886,2.913662,0.42183158
79,2.042486,-0.1557108,-0.24797529,0.3280112,0.49638128,0.3988406,4.796052,0.26876637
80,2.1299615,-0.035676423,-0.12884441,0.21980612,0.7856291,0.38674372,4.267604,0.30527428
81,2.1833878,-0.021780137,-0.12049291,0.24385579,0.8373654,0.42318624,3.5724485,0.3513645
82,2.67319,-0.07909837,-0.16621223,0.32942015,0.84874177,0.41911024,4.036037,0.32940137
