,posterior_g1,posterior_phi,posterior_sigma,posterior_beta3,posterior_rho
0,1.9941164,0.8290554,0.17388762533664703,5.438619,1.0816633
1,1.9683064,0.861465,0.18904121220111847,4.7950897,0.89064527
2,1.839676,0.8587057,0.23403218388557434,5.6672664,0.52421516
3,1.9764421,0.8516344,0.16668711602687836,5.637613,0.95202404
4,1.7926782,0.8702754,0.17480340600013733,5.055384,0.6969428
5,1.9725871,0.85596216,0.1823154240846634,5.2255774,0.7677081
6,2.0474725,0.85480434,0.1719038039445877,5.2662625,1.1080824
7,1.9018519,0.86191607,0.1938067525625229,4.9465833,0.76998574
8,1.9566141,0.87307924,0.1639738827943802,4.907927,0.8222165
9,1.8762031,0.84315187,0.18996424973011017,4.7561507,0.92999816
10,2.0349011,0.8340168,0.16585968434810638,5.469692,0.993254
11,1.9983345,0.85208845,0.22364310920238495,4.9522877,0.9082572
12,1.8507551,0.86033565,0.17938746511936188,5.528222,0.6378828
13,1.9857221,0.86908716,0.09639535844326019,5.3149996,0.8507348
14,1.9128507,0.82915574,0.22376105189323425,5.401968,0.7434659
15,1.7973992,0.849541,0.19200877845287323,5.2475257,0.71523535
16,1.9633365,0.863293,0.15247976779937744,4.8643503,1.0301433
17,2.0257523,0.8709695,0.15447601675987244,5.0465384,0.8696417
18,1.9849805,0.85514396,0.19052720069885254,5.917245,0.84006137
19,1.846824,0.8513938,0.2057526558637619,5.3702602,0.5804083
20,2.0415251,0.8625776,0.13787436485290527,5.222185,1.0758946
21,1.9474058,0.8613618,0.18927070498466492,5.5636044,0.7252615
22,1.8961608,0.8532076,0.1757088005542755,5.667363,0.68206275
23,1.8327988,0.86341333,0.21858137845993042,5.9131474,0.65324193
24,2.0936608,0.8614221,0.24131454527378082,4.3021765,1.2499945
25,1.7772177,0.8590636,0.22151383757591248,5.4872017,0.6116793
26,1.9334645,0.8652046,0.12941871583461761,5.47481,0.7616182
27,1.8408644,0.86454785,0.23597776889801025,5.587891,0.56974417
28,1.7394733,0.85744333,0.20089533925056458,5.501128,0.66574776
29,1.8052702,0.8402398,0.23057451844215393,5.6495433,0.6093692
30,2.0410118,0.85680366,0.16866949200630188,5.0131383,0.94581425
31,1.9887481,0.8673592,0.11645441502332687,5.435468,0.93706816
32,2.0345223,0.8522228,0.16982319951057434,5.3724504,0.8842363
33,1.8008446,0.8650926,0.20802795886993408,5.548323,0.56131214
34,2.0035098,0.8428276,0.24308446049690247,5.4212246,0.9511845
35,1.9218124,0.85254323,0.1662023812532425,5.9257584,0.6627555
36,1.8778336,0.8663184,0.1839403510093689,5.894164,0.5918849
37,1.7475569,0.8456524,0.24853332340717316,5.0660243,0.60956675
38,2.2824516,0.8709013,0.21379417181015015,3.659128,1.8816892
39,2.077998,0.86580586,0.1846092939376831,4.657013,1.2964735
40,1.9320288,0.85180354,0.1899559646844864,5.404789,0.71774495
41,1.7770652,0.84137356,0.19866742193698883,5.2197185,0.7373587
42,2.051129,0.8653093,0.17213869094848633,4.9661803,0.9480299
43,1.9028908,0.8228695,0.19892150163650513,6.2000284,0.64074624
44,1.8453234,0.86019987,0.17741121351718903,5.1365085,0.72124135
45,1.9710194,0.8488367,0.19320790469646454,6.249893,0.82624805
46,1.9144304,0.87590736,0.1375913769006729,4.2441216,0.8512529
47,1.9221799,0.8320595,0.1910877227783203,5.4753714,0.80647063
48,2.0214279,0.8754267,0.18240691721439362,5.2674813,0.9199953
49,2.0610404,0.874032,0.209553062915802,4.417952,1.3587595
50,1.7954342,0.85756904,0.1936088651418686,5.710589,0.63725495
51,1.7665162,0.83839643,0.23737433552742004,5.3617835,0.60157543
52,1.8912731,0.8516584,0.1477406919002533,5.7627983,0.6882006
53,2.0006864,0.85852003,0.21450664103031158,5.069827,0.9708022
54,1.8728191,0.8478436,0.2045743763446808,5.7882776,0.6307432
55,1.8557339,0.8158472,0.19244107604026794,5.649119,0.6908277
56,2.0431182,0.85507846,0.20447827875614166,5.021946,0.95701784
57,1.8917707,0.81796825,0.18666768074035645,5.973712,0.6436954
