,posterior_phi,posterior_sigma,posterior_g1
152,-0.749794,0.3965169,1.8781528
153,-0.7417129,0.37993243,2.0190697
154,-0.7938149,0.38349608,1.8467345
155,-0.84711933,0.34947303,1.7550591
156,-0.81110454,0.40342328,1.7452697
157,-0.67665505,0.4402736,1.6781774
158,-0.7775919,0.41110298,1.8166754
159,-0.760289,0.4111862,1.7645917
160,-0.77091086,0.40296677,1.8953046
161,-0.82529217,0.41811204,1.9174916
162,-0.72391415,0.45124453,1.7817473
163,-0.69709724,0.48120633,1.7557912
164,-0.7393023,0.44201446,1.8379666
165,-0.79280263,0.3945559,1.732232
166,-0.78862125,0.40521058,1.7996361
167,-0.7829616,0.36289975,1.9610534
168,-0.72394353,0.40805843,1.7281568
169,-0.7125208,0.43117604,1.7280107
170,-0.73523825,0.44063285,1.8078567
171,-0.666549,0.4650813,1.6601774
172,-0.6604285,0.46792293,1.8258725
173,-0.7781108,0.37946263,1.7772268
174,-0.812785,0.38165364,1.8006135
175,-0.7953691,0.37394783,1.8263388
176,-0.7523785,0.46375188,1.8225622
177,-0.74690074,0.37865868,1.7564756
178,-0.7915428,0.4131704,1.6057439
179,-0.76044184,0.42338705,1.8913618
180,-0.6710033,0.46273533,1.8511009
181,-0.7760748,0.42257756,1.8258418
182,-0.78783333,0.4250716,2.0642047
183,-0.7125574,0.40232828,2.019894
184,-0.7000228,0.43069592,1.8980912
185,-0.83466053,0.39301267,1.8485214
186,-0.7645349,0.41356027,1.7830232
187,-0.71675074,0.42427188,1.8735105
188,-0.7627634,0.393859,1.8259922
189,-0.8257057,0.3818382,1.8110102
190,-0.7401913,0.41023344,1.8113121
191,-0.6569513,0.48758543,1.9094778
192,-0.7488811,0.42671493,1.8415414
193,-0.76823133,0.39236155,1.8879877
194,-0.7781689,0.4436799,1.7234334
195,-0.8094084,0.3835199,1.7659192
196,-0.82313174,0.38214457,1.8509089
197,-0.7991314,0.3827644,1.6724461
198,-0.8050162,0.40341294,1.8082794
199,-0.7493605,0.4082782,1.6387064
200,-0.81414914,0.43342257,1.7210264
201,-0.72178715,0.4445215,1.8753622
202,-0.7362312,0.43503815,1.8410965
203,-0.70331913,0.4028031,1.8056353
204,-0.76546824,0.38815096,1.8582536
205,-0.6299292,0.50709367,1.9042546
206,-0.80872065,0.37255523,2.0237055
207,-0.86052775,0.42212895,1.7914557
208,-0.70731914,0.43980226,1.9175392
209,-0.6679623,0.43616933,1.8880785
210,-0.6965093,0.4577423,1.9116672
211,-0.759968,0.41727513,1.8553227
212,-0.7560368,0.40659428,1.7802495
213,-0.8442039,0.35738415,1.8280278
214,-0.80976534,0.43566114,1.989866
215,-0.6711612,0.4727895,1.8139055
216,-0.75601995,0.4153356,1.8490646
217,-0.64797467,0.4540527,1.8607717
218,-0.8039587,0.44340244,1.9416571
219,-0.7703318,0.41696778,1.7461282
220,-0.7373943,0.4137933,1.8327984
221,-0.7296098,0.44541132,1.8836933
222,-0.64590967,0.45541883,1.7146466
223,-0.79575473,0.40988737,1.8083656
224,-0.6667948,0.43077555,1.9168388
225,-0.797017,0.41134197,1.8428854
226,-0.6113733,0.46704128,1.8221471
227,-0.77438045,0.42407164,1.8701955
228,-0.7294185,0.44051945,1.8516513
229,-0.75843567,0.43023896,1.8372728
230,-0.7467703,0.3992401,1.6439797
231,-0.6363306,0.4501836,1.9018512
232,-0.87849677,0.38241613,1.8944436
233,-0.7343399,0.40318152,1.7717813
234,-0.7463837,0.42781466,1.9957837
235,-0.7597948,0.4369921,1.7061386
236,-0.71217597,0.4508468,1.9263448
237,-0.7740474,0.39178675,1.8682221
238,-0.67537695,0.4480852,1.8016223
239,-0.8208406,0.41270435,1.8412426
240,-0.6813441,0.47961012,1.9430707
241,-0.7569312,0.43835676,1.8968492
242,-0.7717912,0.38441262,1.8025559
243,-0.84736913,0.36278558,1.9858645
244,-0.76586187,0.39229882,1.8368791
245,-0.7686479,0.41345417,1.8336055
246,-0.66266817,0.462291,1.6879896
247,-0.7017155,0.44840124,1.8220663
248,-0.79443365,0.37565985,1.7792066
249,-0.726028,0.41855523,1.6451695
250,-0.7837208,0.42077538,1.7930084
251,-0.88541675,0.39086226,1.8507311
252,-0.671694,0.4526572,1.7923664
253,-0.73388195,0.43782374,1.8040375
254,-0.7135921,0.45496118,1.743936
255,-0.7274787,0.4081348,1.8875121
256,-0.7902301,0.40183577,1.6844333
257,-0.74389243,0.4311216,1.7646914
258,-0.71942395,0.41045195,1.7479872
259,-0.74293905,0.43082651,1.7988551
260,-0.76767796,0.39253625,1.9035817
261,-0.7404128,0.4446127,1.7574428
262,-0.6571326,0.46199435,1.9468063
263,-0.73139936,0.40543404,1.8161136
264,-0.7909482,0.42847568,1.8443375
265,-0.7432381,0.40458336,1.6694936
266,-0.7142809,0.42257854,2.0220392
267,-0.7550307,0.40634808,1.8154496
268,-0.70045257,0.44398877,1.9990779
269,-0.8128546,0.36884978,1.7813295
270,-0.7233814,0.41267636,1.8851769
271,-0.8218639,0.39807212,1.9256681
272,-0.7516147,0.4114182,1.8133062
273,-0.68241554,0.4651624,1.9595438
274,-0.72136384,0.40008193,1.8647864
275,-0.6817033,0.43702593,2.0471692
276,-0.71733975,0.44420335,1.8700455
277,-0.719414,0.43783188,1.8250499
278,-0.85561997,0.34188893,1.8035843
279,-0.6304814,0.45728192,1.8249123
280,-0.71080476,0.41275424,1.9675517
281,-0.678259,0.45699543,1.8281348
282,-0.7580015,0.3942215,1.6961951
283,-0.77627,0.390628,1.9247823
284,-0.7805727,0.4060419,1.8005804
285,-0.73229855,0.41818392,1.9019394
286,-0.7598282,0.4039515,1.6880468
287,-0.8366071,0.3648568,1.8239306
288,-0.63654864,0.49950096,1.8116336
289,-0.7696734,0.39853802,1.6289148
290,-0.8035083,0.4242915,1.8259035
291,-0.8316291,0.41546965,1.7495041
292,-0.6468823,0.45349002,1.7904817
293,-0.7473292,0.42065296,1.7083585
294,-0.72148013,0.41949594,1.7919246
295,-0.8029709,0.4064453,1.7852639
296,-0.7513812,0.4077192,1.7593806
297,-0.6998714,0.45600507,1.7676897
298,-0.64475965,0.4921509,1.696019
299,-0.78191537,0.38561764,1.7799135
300,-0.72552896,0.4267098,1.8070437
301,-0.7789515,0.4071742,1.7991731
302,-0.8732403,0.35198194,1.8278013
303,-0.7491003,0.39058965,1.8894218
304,-0.77476424,0.38510683,1.9154251
305,-0.7155728,0.45145196,1.7951645
306,-0.8351159,0.359734,1.7279689
307,-0.8290142,0.35012555,1.780557
308,-0.75687635,0.38671893,1.7040763
309,-0.7364531,0.44482118,1.8761485
310,-0.76065373,0.42752817,1.8391762
311,-0.7426015,0.41920546,1.8087748
312,-0.8298853,0.39013493,1.8573127
313,-0.80403006,0.36782223,1.8899562
314,-0.6931389,0.43052465,1.8422289
315,-0.7533336,0.41026774,1.7557032
316,-0.6634505,0.46009567,1.9433078
317,-0.7984403,0.39868787,1.8490622
318,-0.7347505,0.3910902,1.8452157
319,-0.78425705,0.39506724,1.7875872
320,-0.7980779,0.37398732,1.8852676
321,-0.75962895,0.40194696,1.7555225
322,-0.56598455,0.49298957,1.863277
323,-0.73152244,0.4138742,1.895717
324,-0.7766013,0.38344646,1.7401446
325,-0.7259498,0.44465867,1.7201407
326,-0.7571628,0.44037035,1.8126636
327,-0.7155713,0.42666587,2.0762954
328,-0.72938854,0.39720172,2.0179217
329,-0.787389,0.4205809,1.8965293
330,-0.82620347,0.37071267,1.8301104
331,-0.78728545,0.3749566,1.765997
332,-0.7251412,0.4550624,1.9747725
333,-0.75626475,0.40541345,1.9041529
334,-0.88569576,0.36718625,1.7209382
335,-0.75414115,0.3811729,1.7367202
336,-0.7060276,0.41385126,1.9368947
337,-0.7421742,0.45177266,1.9277221
338,-0.74579966,0.3907889,1.888184
339,-0.7089249,0.45198604,1.7855985
340,-0.74280804,0.43999487,1.8471242
341,-0.67245066,0.45003942,1.9755067
342,-0.7936168,0.4093311,1.8317682
343,-0.79694635,0.3921526,1.9583071
344,-0.7731543,0.40784642,1.683254
345,-0.7411467,0.40398383,1.8510332
346,-0.7770186,0.39445835,2.054329
347,-0.8486488,0.371288,1.8008459
348,-0.89970875,0.3678088,1.8584638
349,-0.7723402,0.41325995,1.7933602
350,-0.8252899,0.37071288,1.7039906
351,-0.79966253,0.40144676,1.8285851
352,-0.65096074,0.48492324,1.861751
353,-0.8188943,0.40340844,1.7885507
354,-0.76903325,0.39518264,1.9769921
355,-0.7866215,0.376682,1.8065703
356,-0.79076385,0.39377123,1.9578645
357,-0.7260979,0.4212106,1.9888312
358,-0.7483349,0.41551185,1.8480902
359,-0.7857088,0.37284178,1.8306446
360,-0.5972186,0.50415576,1.9063418
361,-0.7720337,0.41260624,1.8063811
362,-0.50048596,0.5296122,1.820147
363,-0.791778,0.35934058,1.8943726
364,-0.71393955,0.44722205,1.8463596
365,-0.73872656,0.45085764,1.7644986
366,-0.7675322,0.424227,1.7808802
367,-0.68127185,0.4278851,1.8248754
368,-0.7895624,0.3850674,1.7996551
369,-0.69284767,0.452276,1.9141165
370,-0.8112477,0.38104135,2.0376549
371,-0.73643136,0.3972266,1.9059209
372,-0.82357085,0.37168095,1.7448635
373,-0.72186875,0.4360365,1.7240167
374,-0.7656956,0.4185536,1.8262101
375,-0.75393146,0.35747457,1.8543231
376,-0.78040737,0.43665662,1.8216467
377,-0.8173124,0.41103885,1.9171534
378,-0.8071915,0.39647594,1.8214744
379,-0.7396635,0.41980478,1.8059481
380,-0.653138,0.47209537,1.9489402
381,-0.7172747,0.44449973,1.840828
382,-0.6633012,0.44693848,1.8031596
383,-0.75084907,0.4217627,1.7431705
384,-0.7490154,0.43128464,1.8145947
385,-0.84624815,0.38043287,1.802554
386,-0.80069965,0.43938246,1.8562447
387,-0.60769403,0.4718549,1.8461447
388,-0.7857123,0.3957158,1.9239545
389,-0.796354,0.3882456,1.8924152
390,-0.83224106,0.39846185,1.8234468
391,-0.77864206,0.3830901,1.7311
392,-0.6977817,0.42793778,1.8898567
393,-0.8300647,0.38971332,1.7955903
394,-0.77949816,0.39938518,1.8300736
395,-0.8377688,0.3835746,1.8302827
396,-0.7400925,0.40884137,1.9406219
397,-0.73100364,0.42904994,2.046221
398,-0.78330624,0.41523176,2.0072482
399,-0.7998118,0.38121828,1.845377
400,-0.7720109,0.40182912,1.8165952
401,-0.7263567,0.36875394,1.8598015
402,-0.7073671,0.44847354,1.8408391
403,-0.63790977,0.454948,1.9192847
404,-0.8018627,0.41479677,1.8061513
405,-0.78301495,0.36420137,1.7576332
406,-0.748625,0.41682455,1.8462996
407,-0.68020356,0.4407575,1.8882952
408,-0.69633174,0.46546936,1.9044201
409,-0.76993465,0.38618648,1.8275162
410,-0.6559683,0.47571462,1.8210135
411,-0.73694974,0.41608465,1.7286408
412,-0.72797877,0.45857897,1.9823297
413,-0.77616704,0.41575536,1.8262769
414,-0.78549135,0.41107178,1.7540492
415,-0.7731519,0.36741483,1.898489
416,-0.81863695,0.37662578,1.860036
417,-0.7639262,0.4574618,1.6698296
418,-0.72624874,0.46043092,1.7006747
419,-0.6941787,0.45854235,1.8394922
420,-0.7435373,0.42728624,1.9181408
421,-0.6613836,0.47284415,1.7650335
422,-0.6457622,0.43607143,1.8421948
423,-0.754797,0.39547476,1.8949506
424,-0.788542,0.42119208,1.8754656
425,-0.7644003,0.39851868,1.911694
426,-0.7575298,0.39057136,1.9323014
427,-0.72735786,0.41006795,1.9074547
428,-0.724917,0.4207121,1.7772298
429,-0.78526646,0.41825318,1.9295385
430,-0.7913158,0.3963754,1.661194
431,-0.74967676,0.38990343,1.8032678
432,-0.7630117,0.42355153,1.8652444
433,-0.7410602,0.39248624,1.8828605
434,-0.64209414,0.44217098,1.8078909
435,-0.73597175,0.43934023,1.8531023
436,-0.723934,0.38283747,1.8447253
437,-0.69976115,0.4405658,1.8116771
438,-0.9137666,0.33170888,1.7606175
439,-0.7688131,0.42447147,1.865006
440,-0.73508984,0.39434612,1.9567082
441,-0.90204644,0.3604361,1.7910455
442,-0.6992936,0.46299332,1.8202565
443,-0.73932743,0.44668892,1.8003153
444,-0.7883947,0.43319523,1.6465393
445,-0.6590215,0.48234862,1.7993178
446,-0.7353054,0.41832978,1.904162
447,-0.683316,0.4541626,1.8197556
448,-0.6772072,0.42028636,1.8736929
449,-0.71767217,0.4141442,1.7786269
450,-0.76376164,0.41647547,1.8516086
451,-0.6843712,0.44010267,1.8180509
452,-0.6360331,0.48018044,1.8430568
453,-0.82080793,0.3894015,1.7626928
454,-0.7461045,0.4005731,1.9403619
455,-0.8550103,0.3669538,1.778389
456,-0.6451837,0.47633556,1.868695
457,-0.6528608,0.43322405,1.8490119
458,-0.70684963,0.466137,1.7322323
459,-0.7170451,0.43908933,1.9603966
460,-0.81328624,0.39110085,1.8541864
461,-0.7151715,0.39943632,1.923454
462,-0.72491175,0.46511596,1.7681694
463,-0.79878265,0.34389654,1.9543388
464,-0.7617917,0.3604312,1.82592
465,-0.71402436,0.44171867,1.8191383
466,-0.8497472,0.33628154,1.9653182
467,-0.7315772,0.4004745,1.8141522
468,-0.7254392,0.4264864,1.8985848
469,-0.74090034,0.4174988,1.6923149
470,-0.7525757,0.4259351,1.7850688
471,-0.7217226,0.43171874,1.8666383
472,-0.7662233,0.42767316,1.8402244
473,-0.81733304,0.40906093,1.7950622
474,-0.8049658,0.39706448,1.8800495
475,-0.7007876,0.42999607,1.7427499
476,-0.7761417,0.40284392,1.8700289
477,-0.82267094,0.4138821,1.7922859
478,-0.7397761,0.45971826,1.9101981
479,-0.8882957,0.3975134,1.9026115
480,-0.85002816,0.37014422,1.8494607
481,-0.81648463,0.39471686,1.8096844
482,-0.7803594,0.37748885,1.8997011
483,-0.70357305,0.40869233,1.826513
484,-0.70144916,0.4469853,1.8342651
485,-0.73321474,0.44243708,1.8974215
486,-0.69364613,0.45727915,1.7976063
487,-0.6619082,0.4679393,1.7646312
488,-0.75663674,0.4213847,1.8167545
489,-0.7877886,0.4098162,1.9557413
490,-0.6365969,0.46920013,1.7803756
491,-0.79766446,0.39748552,1.7991191
492,-0.73678505,0.42920804,1.7775501
493,-0.75311947,0.43953937,1.8227417
494,-0.7895991,0.40972838,1.9095901
495,-0.78433686,0.42700753,1.8630155
496,-0.7360014,0.40537652,1.7309752
497,-0.7971305,0.4098639,1.7155632
498,-0.7590414,0.41066274,1.7477764
499,-0.78205705,0.41697678,1.896204
500,-0.79248,0.39990467,1.8573958
501,-0.8424762,0.42666733,1.7533398
502,-0.7987743,0.39923382,1.9365724
503,-0.6839774,0.44979802,1.8992192
504,-0.72275573,0.43309468,1.9526314
505,-0.73917615,0.37431914,2.0027936
506,-0.7953208,0.39319116,1.915691
507,-0.8297962,0.37539187,1.8687363
508,-0.6660111,0.44960234,1.8709409
509,-0.82069343,0.40552562,1.720426
510,-0.7363305,0.4128146,1.9586221
511,-0.75484246,0.40398803,1.8602213
512,-0.696259,0.439501,1.9554042
513,-0.68574077,0.43486392,1.9787853
514,-0.83123285,0.38559085,1.6991551
515,-0.6891914,0.44753596,1.9200549
516,-0.6670513,0.45485243,1.8412027
517,-0.72086984,0.39415473,1.8663609
518,-0.7540485,0.42703035,1.7125154
519,-0.87856,0.36568338,1.771801
520,-0.78842986,0.37111983,1.734947
521,-0.8563251,0.3810452,1.8669403
522,-0.8744964,0.34753528,1.8735267
523,-0.6774609,0.45868272,1.7780021
524,-0.7889511,0.40765816,1.842521
525,-0.7051314,0.45277327,1.9519134
526,-0.68834525,0.4298978,1.7329893
527,-0.73717386,0.45739084,1.8784225
528,-0.8502391,0.35962915,1.8747276
529,-0.7660627,0.4520494,1.6620955
530,-0.7344939,0.4298913,1.7931962
531,-0.71591896,0.4422673,1.8872687
532,-0.7158426,0.4217636,1.8198705
533,-0.586923,0.4765894,1.9091829
534,-0.81178385,0.36371115,1.8776014
535,-0.7712997,0.38961315,1.8821626
536,-0.7806589,0.4346045,1.8686464
