,posterior_g1,posterior_phi,posterior_sigma,posterior_beta3,posterior_rho
0,1.8921847,0.9029106497764587,0.059491369873285294,2.349846601486206,2.8370767
1,2.0342221,0.7750301957130432,0.13819241523742676,2.325237989425659,1.7628267
2,1.9710864,0.8707361221313477,0.06112322956323624,2.4995217323303223,1.8657236
3,1.9112558,0.8390790820121765,0.0959412232041359,2.9335694313049316,2.8515685
4,1.981321,0.8842322826385498,0.029770931228995323,3.019312620162964,1.5170658
5,1.9266096,0.7782748341560364,0.12214921414852142,2.7353603839874268,2.8872762
6,1.894471,0.8129401206970215,0.10752164572477341,2.9934375286102295,2.5691147
7,2.076967,0.7989702224731445,0.13634298741817474,2.348951578140259,1.4861978
8,2.150405,0.813790500164032,0.13042470812797546,2.336663246154785,1.3968188
9,2.0694528,0.870638906955719,0.08234904706478119,2.451641321182251,1.2698627
10,2.2507849,0.8175429105758667,0.11704053729772568,2.0614867210388184,1.6702892
11,1.9501855,0.8283892273902893,0.10618764907121658,2.821484327316284,2.1073291
12,1.9988403,0.860215961933136,0.09260939806699753,2.6106228828430176,1.7263339
13,2.0909238,0.8601081967353821,0.12335182726383209,2.3078079223632812,1.6303487
14,2.064304,0.8415719270706177,0.13182364404201508,2.6381847858428955,2.1064866
15,1.9188664,0.8207376599311829,0.1156996637582779,3.0158395767211914,2.820648
16,2.1054018,0.7675579190254211,0.1691201776266098,2.4085888862609863,1.5641042
17,2.2328715,0.8312197327613831,0.10401639342308044,2.1577672958374023,1.5139713
18,2.1439247,0.7737378478050232,0.14880815148353577,2.3214480876922607,1.4156883
19,1.859143,0.9143111109733582,0.026407690718770027,3.287140130996704,2.7421298
20,2.0773938,0.8021734356880188,0.11238592863082886,2.4636545181274414,1.4049515
21,1.8669816,0.9154019951820374,0.002752094529569149,2.975679636001587,2.8676264
22,2.1838782,0.8201228380203247,0.12633344531059265,2.2538468837738037,1.5034268
23,2.0298092,0.8360270261764526,0.09343254566192627,2.8583743572235107,1.2145021
24,2.0592432,0.822013258934021,0.11765190213918686,2.478550672531128,1.4332625
25,1.961417,0.5791487693786621,0.17219437658786774,2.636770486831665,2.8802202
26,1.9699752,0.8276621103286743,0.06750629842281342,2.266833782196045,2.1982772
27,1.8860093,0.8917484283447266,0.08731552958488464,2.661870002746582,2.75014
28,1.9241269,0.8700169920921326,0.0819656178355217,3.283437490463257,2.6057544
29,1.8876023,0.8496453166007996,0.03183690086007118,2.653003454208374,2.882786
30,1.6802613,0.8139991164207458,0.05820327624678612,6.9664177894592285,2.9147038
31,1.9382058,0.8293517827987671,0.12362588942050934,2.8769214153289795,2.0928595
32,2.1741083,0.8589286208152771,0.10553674399852753,2.340726613998413,1.1990429
33,1.8197817,0.9110450148582458,0.0481778047978878,4.308363914489746,2.918682
34,1.8561678,0.8919917941093445,0.0630168691277504,3.4606308937072754,2.8976142
35,1.9450202,0.7458658218383789,0.13357722759246826,2.6227941513061523,2.8720157
36,1.860873,0.9136741161346436,0.057265765964984894,3.478252410888672,2.871088
37,1.9684374,0.8144733309745789,0.10652443766593933,2.5103604793548584,2.587027
38,2.043808,0.7651304602622986,0.1341381072998047,2.573965311050415,1.6423842
39,1.9987122,0.7449458837509155,0.14538289606571198,2.807426691055298,2.0592911
40,2.1459484,0.8543570041656494,0.11703309416770935,2.3036205768585205,1.3644717
41,1.8998976,0.833028256893158,0.07005365192890167,2.995335102081299,2.7726982
42,1.9936296,0.7859314680099487,0.12690085172653198,2.9162697792053223,1.4540303
43,1.904114,0.8793332576751709,0.07797344028949738,2.6961660385131836,2.7067962
44,1.88715,0.8951634764671326,0.08889374136924744,3.2629940509796143,2.6773121
45,1.9598557,0.8063070178031921,0.11288457363843918,2.696276903152466,2.307088
46,1.7702117,0.8590022325515747,0.04184182360768318,5.283036231994629,2.8914924
47,1.7961915,0.8583751916885376,0.02585826814174652,3.948857069015503,2.8928938
48,1.9879432,0.8720760345458984,0.04189761355519295,3.1117796897888184,1.2988052
49,1.8946794,0.8814870119094849,0.05930616334080696,3.13187575340271,2.742605
50,2.0026543,0.84535151720047,0.054874006658792496,2.6866462230682373,1.4645095
51,1.9627602,0.8214476704597473,0.08536586910486221,2.6495249271392822,2.1096525
52,2.1769311,0.8003966212272644,0.13205519318580627,2.417764902114868,1.5029714
53,1.9714863,0.8556527495384216,0.0927523821592331,2.8360517024993896,2.133181
54,2.0355008,0.8352257609367371,0.10479359328746796,2.5036439895629883,1.4997604
55,2.0086598,0.8639150261878967,0.032195474952459335,2.635981321334839,1.6060468
56,1.9354755,0.8619844913482666,0.06713684648275375,3.131941795349121,1.942297
57,2.0649605,0.777384340763092,0.12526492774486542,2.4423434734344482,1.2731299
58,1.99965,0.8201912641525269,0.1009940505027771,2.679821729660034,1.7752197
59,1.9868171,0.8288156390190125,0.1087435856461525,2.534592628479004,1.9711955
60,1.9428756,0.8823297023773193,0.0834558829665184,2.8879716396331787,2.3617978
61,1.9335347,0.8354180455207825,0.09584106504917145,2.642637014389038,2.4868731
62,1.9699757,0.8478846549987793,0.11704180389642715,2.711986780166626,2.5037305
63,1.9118308,0.8726741075515747,0.09759869426488876,3.197990655899048,2.2793512
64,1.9345518,0.8442058563232422,0.09063530713319778,2.4642436504364014,2.7328277
65,2.1347325,0.7726240158081055,0.14508429169654846,2.194394588470459,1.5920147
66,2.0365982,0.8773689866065979,0.019455675035715103,2.683260917663574,1.288452
67,1.9966973,0.7953329086303711,0.08534272760152817,2.6749188899993896,1.4643973
68,2.0590806,0.8555630445480347,0.1244840994477272,2.332543134689331,1.5503129
69,2.1546953,0.7954683899879456,0.1313624382019043,2.1283538341522217,1.6093031
70,1.8191097,0.8984792232513428,0.03950037062168121,4.2491455078125,2.9030483
71,2.047842,0.7571303844451904,0.1374252289533615,2.5087757110595703,1.7022231
72,1.775906,0.8701295852661133,0.04705595597624779,3.924617290496826,2.9165704
73,2.0506744,0.7286401987075806,0.1560996174812317,2.393387794494629,1.9245149
74,1.9294251,0.810938835144043,0.09837799519300461,2.6523020267486572,2.6687367
75,1.9780139,0.7767019271850586,0.14552369713783264,2.6344964504241943,2.7670884
76,2.1128058,0.7476832866668701,0.1595124900341034,2.3357226848602295,1.3733253
77,1.9233179,0.8420526385307312,0.0585380420088768,2.614408493041992,2.470552
78,1.8374407,0.9064239263534546,0.06659316271543503,3.848276376724243,2.9036598
79,1.7462536,0.9042212963104248,0.058796729892492294,5.268387794494629,2.9203694
80,2.0713508,0.8454887866973877,0.08086680620908737,2.446326732635498,1.3402176
81,2.0289764,0.8926959037780762,0.05390021577477455,2.8317031860351562,1.4282255
82,2.1244318,0.835378885269165,0.1134445071220398,2.363105535507202,1.5265279
83,2.1575205,0.7675551772117615,0.16726984083652496,2.2665939331054688,1.621831
84,1.9029,0.8833433985710144,0.09752519428730011,2.484806537628174,2.6461537
85,2.040564,0.8829952478408813,0.09158740192651749,2.4737441539764404,1.5759398
86,1.7516537,0.9202789664268494,0.015488434582948685,4.674671173095703,2.9120238
87,2.0280771,0.8010782599449158,0.12729132175445557,2.6125266551971436,1.603585
88,2.1431537,0.8519496917724609,0.12256623059511185,2.224719524383545,1.6154846
89,1.9879613,0.8926979899406433,0.06457290798425674,2.4337756633758545,1.6452692
90,1.8637685,0.8922560214996338,0.0800415500998497,3.0380477905273438,2.9321094
91,1.8835377,0.8885969519615173,0.06922519207000732,2.891010046005249,2.898245
92,1.9681857,0.840565025806427,0.09304271638393402,2.7853500843048096,2.0204554
93,1.9843305,0.8026213645935059,0.10770677775144577,2.4462485313415527,2.0071843
94,2.0776408,0.8584141731262207,0.11012919247150421,2.5342469215393066,1.5474579
